id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
3881636,5,"спасибо, решили мой вопрос на месте в офисе ",0.0,0.0,0.0,1.0,1.0,0.06355544431524981,0.0039414722282521695,0.026669474291847687,0.5101572017103478,0.5664309659859018
3882840,5,"Спасибо больше Ольге Птушкине, за проделанную работу! ",0.0,0.0,1.0,0.0,0.0,0.052455975827507405,0.0,0.5245131539203838,0.4899807630414096,0.0055057945105409815
3883049,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3883200,5,"всё сделали хорошо, починили вовремя. наверное, молодцы.",0.0,0.0,0.0,1.0,0.0,0.1832295359157024,0.0030548720472440938,0.05472206993905812,0.8975206440603363,0.012622145467189282
3883457,5,Спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3883549,5,Супер! Спасибо!,0.0,0.0,0.0,1.0,0.0,0.08422331172220483,0.03655837379095308,0.08283469401164104,0.8718693551842079,0.1317741820526484
3883658,5,Отлично! Все выполнили как и обещали! ,0.0,0.0,0.0,1.0,0.0,0.08,0.10197955014877151,0.0048355773166230236,0.9683412140575081,0.004439560439560441
3883736,5,Очень оперативно. Спасибо большое ,1.0,0.0,0.0,0.0,0.0,0.82,0.06500823451910408,0.09793950415227011,0.4773956455124715,0.003692870201096892
3883745,5,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",1.0,0.0,1.0,1.0,0.0,0.7104469273743017,0.2958614341085271,0.93,0.629019351774902,0.02
3883823,5,Спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3884514,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3884705,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3884964,5,Умело подкрутили редукторы давления. Молодец!,0.0,0.0,1.0,1.0,0.0,0.014874754866547848,0.03321469119864743,0.7794772623042028,0.8847141471380046,0.12258737204543055
3885089,5,"все хорошо,дверь практически бесшумно закрывается",0.0,1.0,0.0,1.0,0.0,0.010518539070696314,0.735126113662758,0.04866254417616503,0.9558578631896907,0.08433361027359287
3885291,5,Спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3885807,5,спасибо),0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3886150,5,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",0.0,0.0,1.0,1.0,0.0,0.024987782210205735,0.06640245862353028,0.892876716634342,0.7900256931379518,0.11186415148164879
3886231,5,"быстро, чётко, без проблем. одно слово - мастер! ",1.0,1.0,1.0,1.0,0.0,0.8585496183206106,0.6808387096774193,0.951302701338046,0.7186176599794991,0.0
3886721,5,Работает. Спасибо!,0.0,0.0,0.0,1.0,0.0,0.04089406032435297,0.03870823861255112,0.013795077910812614,0.9850407543244687,0.025623810238366365
3886923,5,"сегодня ездил, все исправно работает, спасибо!",0.0,1.0,0.0,1.0,0.0,0.05,0.75,0.002758796127462758,0.8938278923253073,0.007626735651262855
3886937,5,"Спасибо большое, всё понятно.",0.0,0.0,0.0,1.0,0.0,0.07198644727380397,0.005652173913043479,0.00773596567286956,0.9070743801652893,0.0
3887002,5,Татьяна спасибо ❤️,0.0,0.0,1.0,0.0,0.0,0.011150049531559706,0.015824560578126975,0.9352235289646618,0.0793630339683874,0.07460696506366213
3887203,5,На вопрос ответили. Крепления нельзя повесить в колясочной,0.0,0.0,0.0,1.0,0.0,0.16267485625105302,0.03869301344378678,0.1867769377117558,0.6531972086570755,0.2944632289491289
3887228,5,Большое спасибо!,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3887353,5,Лучший ,0.0,0.0,0.0,1.0,0.0,0.01935117257189943,0.025372820114470694,0.11224840259094046,0.880252129584134,0.1341046652517428
3887358,5,спасибо за оперативность ,1.0,0.0,0.0,0.0,0.0,0.8744274370273594,0.0,0.008196032116037923,0.21849013954824958,0.01114504947237178
3887389,5,спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3887392,5,спасибо за то что быстро отреагировали,1.0,1.0,0.0,1.0,0.0,0.9474907633421212,0.6197066666666666,0.023736989758300076,0.5902015709946207,0.005156349712827061
